root,slot,base,base_target,operation,final_target
v30op,0x00,i286op,_add_ea_r8,base,_add_ea_r8
v30op,0x01,i286op,_add_ea_r16,base,_add_ea_r16
v30op,0x02,i286op,_add_r8_ea,base,_add_r8_ea
v30op,0x03,i286op,_add_r16_ea,base,_add_r16_ea
v30op,0x04,i286op,_add_al_data8,base,_add_al_data8
v30op,0x05,i286op,_add_ax_data16,base,_add_ax_data16
v30op,0x06,i286op,_push_es,base,_push_es
v30op,0x07,i286op,_pop_es,base,_pop_es
v30op,0x08,i286op,_or_ea_r8,base,_or_ea_r8
v30op,0x09,i286op,_or_ea_r16,base,_or_ea_r16
v30op,0x0a,i286op,_or_r8_ea,base,_or_r8_ea
v30op,0x0b,i286op,_or_r16_ea,base,_or_r16_ea
v30op,0x0c,i286op,_or_al_data8,base,_or_al_data8
v30op,0x0d,i286op,_or_ax_data16,base,_or_ax_data16
v30op,0x0e,i286op,_push_cs,base,_push_cs
v30op,0x0f,i286op,i286c_cts,patch,v30_ope0x0f
v30op,0x10,i286op,_adc_ea_r8,base,_adc_ea_r8
v30op,0x11,i286op,_adc_ea_r16,base,_adc_ea_r16
v30op,0x12,i286op,_adc_r8_ea,base,_adc_r8_ea
v30op,0x13,i286op,_adc_r16_ea,base,_adc_r16_ea
v30op,0x14,i286op,_adc_al_data8,base,_adc_al_data8
v30op,0x15,i286op,_adc_ax_data16,base,_adc_ax_data16
v30op,0x16,i286op,_push_ss,base,_push_ss
v30op,0x17,i286op,_pop_ss,base,_pop_ss
v30op,0x18,i286op,_sbb_ea_r8,base,_sbb_ea_r8
v30op,0x19,i286op,_sbb_ea_r16,base,_sbb_ea_r16
v30op,0x1a,i286op,_sbb_r8_ea,base,_sbb_r8_ea
v30op,0x1b,i286op,_sbb_r16_ea,base,_sbb_r16_ea
v30op,0x1c,i286op,_sbb_al_data8,base,_sbb_al_data8
v30op,0x1d,i286op,_sbb_ax_data16,base,_sbb_ax_data16
v30op,0x1e,i286op,_push_ds,base,_push_ds
v30op,0x1f,i286op,_pop_ds,base,_pop_ds
v30op,0x20,i286op,_and_ea_r8,base,_and_ea_r8
v30op,0x21,i286op,_and_ea_r16,base,_and_ea_r16
v30op,0x22,i286op,_and_r8_ea,base,_and_r8_ea
v30op,0x23,i286op,_and_r16_ea,base,_and_r16_ea
v30op,0x24,i286op,_and_al_data8,base,_and_al_data8
v30op,0x25,i286op,_and_ax_data16,base,_and_ax_data16
v30op,0x26,i286op,_segprefix_es,patch,v30segprefix_es
v30op,0x27,i286op,_daa,base,_daa
v30op,0x28,i286op,_sub_ea_r8,base,_sub_ea_r8
v30op,0x29,i286op,_sub_ea_r16,base,_sub_ea_r16
v30op,0x2a,i286op,_sub_r8_ea,base,_sub_r8_ea
v30op,0x2b,i286op,_sub_r16_ea,base,_sub_r16_ea
v30op,0x2c,i286op,_sub_al_data8,base,_sub_al_data8
v30op,0x2d,i286op,_sub_ax_data16,base,_sub_ax_data16
v30op,0x2e,i286op,_segprefix_cs,patch,v30segprefix_cs
v30op,0x2f,i286op,_das,base,_das
v30op,0x30,i286op,_xor_ea_r8,base,_xor_ea_r8
v30op,0x31,i286op,_xor_ea_r16,base,_xor_ea_r16
v30op,0x32,i286op,_xor_r8_ea,base,_xor_r8_ea
v30op,0x33,i286op,_xor_r16_ea,base,_xor_r16_ea
v30op,0x34,i286op,_xor_al_data8,base,_xor_al_data8
v30op,0x35,i286op,_xor_ax_data16,base,_xor_ax_data16
v30op,0x36,i286op,_segprefix_ss,patch,v30segprefix_ss
v30op,0x37,i286op,_aaa,base,_aaa
v30op,0x38,i286op,_cmp_ea_r8,base,_cmp_ea_r8
v30op,0x39,i286op,_cmp_ea_r16,base,_cmp_ea_r16
v30op,0x3a,i286op,_cmp_r8_ea,base,_cmp_r8_ea
v30op,0x3b,i286op,_cmp_r16_ea,base,_cmp_r16_ea
v30op,0x3c,i286op,_cmp_al_data8,base,_cmp_al_data8
v30op,0x3d,i286op,_cmp_ax_data16,base,_cmp_ax_data16
v30op,0x3e,i286op,_segprefix_ds,patch,v30segprefix_ds
v30op,0x3f,i286op,_aas,base,_aas
v30op,0x40,i286op,_inc_ax,base,_inc_ax
v30op,0x41,i286op,_inc_cx,base,_inc_cx
v30op,0x42,i286op,_inc_dx,base,_inc_dx
v30op,0x43,i286op,_inc_bx,base,_inc_bx
v30op,0x44,i286op,_inc_sp,base,_inc_sp
v30op,0x45,i286op,_inc_bp,base,_inc_bp
v30op,0x46,i286op,_inc_si,base,_inc_si
v30op,0x47,i286op,_inc_di,base,_inc_di
v30op,0x48,i286op,_dec_ax,base,_dec_ax
v30op,0x49,i286op,_dec_cx,base,_dec_cx
v30op,0x4a,i286op,_dec_dx,base,_dec_dx
v30op,0x4b,i286op,_dec_bx,base,_dec_bx
v30op,0x4c,i286op,_dec_sp,base,_dec_sp
v30op,0x4d,i286op,_dec_bp,base,_dec_bp
v30op,0x4e,i286op,_dec_si,base,_dec_si
v30op,0x4f,i286op,_dec_di,base,_dec_di
v30op,0x50,i286op,_push_ax,base,_push_ax
v30op,0x51,i286op,_push_cx,base,_push_cx
v30op,0x52,i286op,_push_dx,base,_push_dx
v30op,0x53,i286op,_push_bx,base,_push_bx
v30op,0x54,i286op,_push_sp,patch,v30push_sp
v30op,0x55,i286op,_push_bp,base,_push_bp
v30op,0x56,i286op,_push_si,base,_push_si
v30op,0x57,i286op,_push_di,base,_push_di
v30op,0x58,i286op,_pop_ax,base,_pop_ax
v30op,0x59,i286op,_pop_cx,base,_pop_cx
v30op,0x5a,i286op,_pop_dx,base,_pop_dx
v30op,0x5b,i286op,_pop_bx,base,_pop_bx
v30op,0x5c,i286op,_pop_sp,base,_pop_sp
v30op,0x5d,i286op,_pop_bp,base,_pop_bp
v30op,0x5e,i286op,_pop_si,base,_pop_si
v30op,0x5f,i286op,_pop_di,base,_pop_di
v30op,0x60,i286op,_pusha,base,_pusha
v30op,0x61,i286op,_popa,base,_popa
v30op,0x62,i286op,_bound,base,_bound
