table,slot,entry_kind,target
c_op8xext16_table,0x00,handler,_add_ext16_i
c_op8xext16_table,0x01,handler,_or_ext16_i
c_op8xext16_table,0x02,handler,_adc_ext16_i
c_op8xext16_table,0x03,handler,_sbb_ext16_i
c_op8xext16_table,0x04,handler,_and_ext16_i
c_op8xext16_table,0x05,handler,_sub_ext16_i
c_op8xext16_table,0x06,handler,_xor_ext16_i
c_op8xext16_table,0x07,handler,_cmp_ext16_i
c_op8xext8_table,0x00,handler,_add_ext8_i
c_op8xext8_table,0x01,handler,_or_ext8_i
c_op8xext8_table,0x02,handler,_adc_ext8_i
c_op8xext8_table,0x03,handler,_sbb_ext8_i
c_op8xext8_table,0x04,handler,_and_ext8_i
c_op8xext8_table,0x05,handler,_sub_ext8_i
c_op8xext8_table,0x06,handler,_xor_ext8_i
c_op8xext8_table,0x07,handler,_cmp_ext8_i
c_op8xreg16_table,0x00,handler,_add_r16_i
c_op8xreg16_table,0x01,handler,_or_r16_i
c_op8xreg16_table,0x02,handler,_adc_r16_i
c_op8xreg16_table,0x03,handler,_sbb_r16_i
c_op8xreg16_table,0x04,handler,_and_r16_i
c_op8xreg16_table,0x05,handler,_sub_r16_i
c_op8xreg16_table,0x06,handler,_xor_r16_i
c_op8xreg16_table,0x07,handler,_cmp_r16_i
c_op8xreg8_table,0x00,handler,_add_r8_i
c_op8xreg8_table,0x01,handler,_or_r8_i
c_op8xreg8_table,0x02,handler,_adc_r8_i
c_op8xreg8_table,0x03,handler,_sbb_r8_i
c_op8xreg8_table,0x04,handler,_and_r8_i
c_op8xreg8_table,0x05,handler,_sub_r8_i
c_op8xreg8_table,0x06,handler,_xor_r8_i
c_op8xreg8_table,0x07,handler,_cmp_r8_i
c_ope0xfe_table,0x00,handler,_inc_ea8
c_ope0xfe_table,0x01,handler,_dec_ea8
c_ope0xff_table,0x00,handler,_inc_ea16
c_ope0xff_table,0x01,handler,_dec_ea16
c_ope0xff_table,0x02,handler,_call_ea16
c_ope0xff_table,0x03,handler,_call_far_ea16
c_ope0xff_table,0x04,handler,_jmp_ea16
c_ope0xff_table,0x05,handler,_jmp_far_ea16
c_ope0xff_table,0x06,handler,_push_ea16
c_ope0xff_table,0x07,handler,_pop_ea16
handler:_calc_ea16_i16,-,secondary-table,c_op8xext16_table
handler:_calc_ea16_i16,-,secondary-table,c_op8xreg16_table
handler:_calc_ea16_i8,-,secondary-table,c_op8xext16_table
handler:_calc_ea16_i8,-,secondary-table,c_op8xreg16_table
handler:_calc_ea8_i8,-,secondary-table,c_op8xext8_table
handler:_calc_ea8_i8,-,secondary-table,c_op8xreg8_table
handler:_mov_al_imm,-,secondary-table,sft_e8cl_table
handler:_mov_al_imm,-,secondary-table,sft_r8cl_table
handler:_ope0xfe,-,secondary-table,c_ope0xfe_table
handler:_ope0xff,-,secondary-table,c_ope0xff_table
handler:_shift_ea16_1,-,secondary-table,sft_e16_table
handler:_shift_ea16_1,-,secondary-table,sft_r16_table
handler:_shift_ea8_1,-,secondary-table,sft_e8_table
handler:_shift_ea8_1,-,secondary-table,sft_r8_table
handler:v30_ope0x0f,-,secondary-table,v30ope0x0f_table
handler:v30_ope0xf6,-,secondary-table,v30ope0xf6_table
handler:v30_ope0xf7,-,secondary-table,v30ope0xf7_table
handler:v30_repc,-,secondary-table,v30op_repc
handler:v30_repe,-,secondary-table,v30op_repe
handler:v30_repne,-,secondary-table,v30op_repne
handler:v30repc_segprefix_cs,-,secondary-table,v30op_repc
handler:v30repc_segprefix_ds,-,secondary-table,v30op_repc
handler:v30repc_segprefix_es,-,secondary-table,v30op_repc
handler:v30repc_segprefix_ss,-,secondary-table,v30op_repc
