case_id,prefix,second_byte,instruction_bytes,manual_mnemonic,modrm_constraints,initial_registers,initial_flags,initial_memory,current_dispatch_path,current_handler_or_result,expected_ip_advance,expected_registers,expected_flags,memory_and_io_effects,interrupt_or_exception,architectural_prefix_status,evidence_source,confidence,ssts_metadata_form,ssts_empty_prefetch_records,ssts_populated_prefetch_records,hardware_probe_cases
none-0f-00,none,0x00,0f00,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-01,none,0x01,0f01,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,r004
none-0f-02,none,0x02,0f02,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-03,none,0x03,0f03,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-04,none,0x04,0f04,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-05,none,0x05,0f05,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-06,none,0x06,0f06,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-07,none,0x07,0f07,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-08,none,0x08,0f08,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-09,none,0x09,0f09,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-0a,none,0x0a,0f0a,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-0b,none,0x0b,0f0b,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-0c,none,0x0c,0f0c,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-0d,none,0x0d,0f0d,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-0e,none,0x0e,0f0e,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-0f,none,0x0f,0f0f,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-10,none,0x10,0f10,"TEST1 r/m8,CL",ModR/M register or memory form,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_test1_ea8_cl,handler- and operand-dependent,defined by the selected V30 Group3 handler and operands,defined by the selected V30 Group3 handler,handler- and operand-dependent; no direct I/O handler,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F10,5000,5000,r001
none-0f-11,none,0x11,0f11,"TEST1 r/m16,CL",ModR/M register or memory form,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_test1_ea16_cl,handler- and operand-dependent,defined by the selected V30 Group3 handler and operands,defined by the selected V30 Group3 handler,handler- and operand-dependent; no direct I/O handler,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F11,5000,5000,
none-0f-12,none,0x12,0f12,"CLR1 r/m8,CL",ModR/M register or memory form,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_clr1_ea8_cl,handler- and operand-dependent,defined by the selected V30 Group3 handler and operands,defined by the selected V30 Group3 handler,handler- and operand-dependent; no direct I/O handler,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F12,5000,5000,
