mode,opcode,subopcode,target,classification,basis
v30op,0x00,-,_add_ea_r8,implemented,final-root-target
v30op,0x01,-,_add_ea_r16,implemented,final-root-target
v30op,0x02,-,_add_r8_ea,implemented,final-root-target
v30op,0x03,-,_add_r16_ea,implemented,final-root-target
v30op,0x04,-,_add_al_data8,implemented,final-root-target
v30op,0x05,-,_add_ax_data16,implemented,final-root-target
v30op,0x06,-,_push_es,implemented,final-root-target
v30op,0x07,-,_pop_es,implemented,final-root-target
v30op,0x08,-,_or_ea_r8,implemented,final-root-target
v30op,0x09,-,_or_ea_r16,implemented,final-root-target
v30op,0x0a,-,_or_r8_ea,implemented,final-root-target
v30op,0x0b,-,_or_r16_ea,implemented,final-root-target
v30op,0x0c,-,_or_al_data8,implemented,final-root-target
v30op,0x0d,-,_or_ax_data16,implemented,final-root-target
v30op,0x0e,-,_push_cs,implemented,final-root-target
v30op,0x0f,-,v30_ope0x0f,implemented,final-root-target
v30op,0x10,-,_adc_ea_r8,implemented,final-root-target
v30op,0x11,-,_adc_ea_r16,implemented,final-root-target
v30op,0x12,-,_adc_r8_ea,implemented,final-root-target
v30op,0x13,-,_adc_r16_ea,implemented,final-root-target
v30op,0x14,-,_adc_al_data8,implemented,final-root-target
v30op,0x15,-,_adc_ax_data16,implemented,final-root-target
v30op,0x16,-,_push_ss,implemented,final-root-target
v30op,0x17,-,_pop_ss,implemented,final-root-target
v30op,0x18,-,_sbb_ea_r8,implemented,final-root-target
v30op,0x19,-,_sbb_ea_r16,implemented,final-root-target
v30op,0x1a,-,_sbb_r8_ea,implemented,final-root-target
v30op,0x1b,-,_sbb_r16_ea,implemented,final-root-target
v30op,0x1c,-,_sbb_al_data8,implemented,final-root-target
v30op,0x1d,-,_sbb_ax_data16,implemented,final-root-target
v30op,0x1e,-,_push_ds,implemented,final-root-target
v30op,0x1f,-,_pop_ds,implemented,final-root-target
v30op,0x20,-,_and_ea_r8,implemented,final-root-target
v30op,0x21,-,_and_ea_r16,implemented,final-root-target
v30op,0x22,-,_and_r8_ea,implemented,final-root-target
v30op,0x23,-,_and_r16_ea,implemented,final-root-target
v30op,0x24,-,_and_al_data8,implemented,final-root-target
v30op,0x25,-,_and_ax_data16,implemented,final-root-target
v30op,0x26,-,v30segprefix_es,implemented,final-root-target
v30op,0x27,-,_daa,implemented,final-root-target
v30op,0x28,-,_sub_ea_r8,implemented,final-root-target
v30op,0x29,-,_sub_ea_r16,implemented,final-root-target
v30op,0x2a,-,_sub_r8_ea,implemented,final-root-target
v30op,0x2b,-,_sub_r16_ea,implemented,final-root-target
v30op,0x2c,-,_sub_al_data8,implemented,final-root-target
v30op,0x2d,-,_sub_ax_data16,implemented,final-root-target
v30op,0x2e,-,v30segprefix_cs,implemented,final-root-target
v30op,0x2f,-,_das,implemented,final-root-target
v30op,0x30,-,_xor_ea_r8,implemented,final-root-target
v30op,0x31,-,_xor_ea_r16,implemented,final-root-target
v30op,0x32,-,_xor_r8_ea,implemented,final-root-target
v30op,0x33,-,_xor_r16_ea,implemented,final-root-target
v30op,0x34,-,_xor_al_data8,implemented,final-root-target
v30op,0x35,-,_xor_ax_data16,implemented,final-root-target
v30op,0x36,-,v30segprefix_ss,implemented,final-root-target
v30op,0x37,-,_aaa,implemented,final-root-target
v30op,0x38,-,_cmp_ea_r8,implemented,final-root-target
v30op,0x39,-,_cmp_ea_r16,implemented,final-root-target
v30op,0x3a,-,_cmp_r8_ea,implemented,final-root-target
v30op,0x3b,-,_cmp_r16_ea,implemented,final-root-target
v30op,0x3c,-,_cmp_al_data8,implemented,final-root-target
v30op,0x3d,-,_cmp_ax_data16,implemented,final-root-target
